CODIGO DA COMPOSICAO,DESCRICAO DA COMPOSICAO,UNIDADE,CUSTO TOTAL,TIPO ITEM,CODIGO ITEM,DESCRIÇÃO ITEM,UNIDADE ITEM,COEFICIENTE,PRECO UNITARIO,CUSTO TOTAL.1,CUSTO MAO DE OBRA,% MAO DE OBRA
97151.0,"ASSENTAMENTO DE TUBO DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 600 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL ALTO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_05/2024",M,"27,05",COMPOSICAO,88316.0,SERVENTE COM ENCARGOS COMPLEMENTARES,H,"0,2501000","21,38","5,34",,
97152.0,"ASSENTAMENTO DE TUBO DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 700 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL ALTO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_05/2024",M,"30,89",COMPOSICAO,88316.0,SERVENTE COM ENCARGOS COMPLEMENTARES,H,"0,2921000","21,38","6,24",,
97153.0,"ASSENTAMENTO DE TUBO DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 800 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL ALTO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_05/2024",M,"34,91",COMPOSICAO,88316.0,SERVENTE COM ENCARGOS COMPLEMENTARES,H,"0,3340000","21,38","7,14",,
97154.0,"ASSENTAMENTO DE TUBO DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 900 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL ALTO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_05/2024",M,"38,96",COMPOSICAO,88316.0,SERVENTE COM ENCARGOS COMPLEMENTARES,H,"0,3760000","21,38","8,03",,
97155.0,"ASSENTAMENTO DE TUBO DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 1000 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL ALTO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_05/2024",M,"43,04",COMPOSICAO,88316.0,SERVENTE COM ENCARGOS COMPLEMENTARES,H,"0,4179000","21,38","8,93",,
97156.0,"ASSENTAMENTO DE TUBO DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 1200 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL ALTO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_05/2024",M,"51,63",COMPOSICAO,88316.0,SERVENTE COM ENCARGOS COMPLEMENTARES,H,"0,5018000","21,38","10,72",,
97157.0,"ASSENTAMENTO DE TUBO DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 80 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL BAIXO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_05/2024",M,"3,51",COMPOSICAO,88316.0,SERVENTE COM ENCARGOS COMPLEMENTARES,H,"0,0289000","21,38","0,61",,
97158.0,"ASSENTAMENTO DE TUBO DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 100 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL BAIXO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_05/2024",M,"4,12",COMPOSICAO,88316.0,SERVENTE COM ENCARGOS COMPLEMENTARES,H,"0,0365000","21,38","0,78",,
97159.0,"ASSENTAMENTO DE TUBO DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 150 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL BAIXO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_05/2024",M,"5,60",COMPOSICAO,88316.0,SERVENTE COM ENCARGOS COMPLEMENTARES,H,"0,0554000","21,38","1,18",,
97160.0,"ASSENTAMENTO DE TUBO DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 200 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL BAIXO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_05/2024",M,"7,06",COMPOSICAO,88316.0,SERVENTE COM ENCARGOS COMPLEMENTARES,H,"0,0744000","21,38","1,59",,
97161.0,"ASSENTAMENTO DE TUBO DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 250 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL BAIXO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_05/2024",M,"8,55",COMPOSICAO,88316.0,SERVENTE COM ENCARGOS COMPLEMENTARES,H,"0,0933000","21,38","1,99",,
97162.0,"ASSENTAMENTO DE TUBO DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 300 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL BAIXO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_05/2024",M,"10,07",COMPOSICAO,88316.0,SERVENTE COM ENCARGOS COMPLEMENTARES,H,"0,1123000","21,38","2,40",,
97163.0,"ASSENTAMENTO DE TUBO DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 350 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL BAIXO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_05/2024",M,"11,55",COMPOSICAO,88316.0,SERVENTE COM ENCARGOS COMPLEMENTARES,H,"0,1312000","21,38","2,80",,
97164.0,"ASSENTAMENTO DE TUBO DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 400 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL BAIXO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_05/2024",M,"13,06",COMPOSICAO,88316.0,SERVENTE COM ENCARGOS COMPLEMENTARES,H,"0,1502000","21,38","3,21",,
97165.0,"ASSENTAMENTO DE TUBO DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 450 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL BAIXO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_05/2024",M,"14,56",COMPOSICAO,88316.0,SERVENTE COM ENCARGOS COMPLEMENTARES,H,"0,1691000","21,38","3,61",,
97166.0,"ASSENTAMENTO DE TUBO DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 500 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL BAIXO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_05/2024",M,"18,30",COMPOSICAO,88316.0,SERVENTE COM ENCARGOS COMPLEMENTARES,H,"0,1881000","21,38","4,02",,
97167.0,"ASSENTAMENTO DE TUBO DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 600 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL BAIXO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_05/2024",M,"21,69",COMPOSICAO,88316.0,SERVENTE COM ENCARGOS COMPLEMENTARES,H,"0,2260000","21,38","4,83",,
97168.0,"ASSENTAMENTO DE TUBO DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 700 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL BAIXO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_05/2024",M,"24,77",COMPOSICAO,88316.0,SERVENTE COM ENCARGOS COMPLEMENTARES,H,"0,2639000","21,38","5,64",,
97169.0,"ASSENTAMENTO DE TUBO DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 800 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL BAIXO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_05/2024",M,"28,04",COMPOSICAO,88316.0,SERVENTE COM ENCARGOS COMPLEMENTARES,H,"0,3018000","21,38","6,45",,
97170.0,"ASSENTAMENTO DE TUBO DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 900 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL BAIXO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_05/2024",M,"31,34",COMPOSICAO,88316.0,SERVENTE COM ENCARGOS COMPLEMENTARES,H,"0,3397000","21,38","7,26",,
97171.0,"ASSENTAMENTO DE TUBO DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 1000 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL BAIXO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_05/2024",M,"34,67",COMPOSICAO,88316.0,SERVENTE COM ENCARGOS COMPLEMENTARES,H,"0,3776000","21,38","8,07",,
97172.0,"ASSENTAMENTO DE TUBO DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 1200 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL BAIXO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_05/2024",M,"41,76",COMPOSICAO,88316.0,SERVENTE COM ENCARGOS COMPLEMENTARES,H,"0,4534000","21,38","9,69",,
105249.0,"ASSENTAMENTO DE CONEXÃO 2 ACESSOS ALINHADOS DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 1200, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL ALTO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_05/2024",UN,"115,48",COMPOSICAO,88316.0,SERVENTE COM ENCARGOS COMPLEMENTARES,H,"1,0297000","21,38","22,01",,
105250.0,"ASSENTAMENTO DE CONEXÃO 2 ACESSOS INCLINADOS DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 80, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL ALTO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_05/2024",UN,"14,53",COMPOSICAO,88316.0,SERVENTE COM ENCARGOS COMPLEMENTARES,H,"0,0985000","21,38","2,10",,
105251.0,"ASSENTAMENTO DE CONEXÃO 2 ACESSOS INCLINADOS DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 100, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL ALTO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_05/2024",UN,"16,80",COMPOSICAO,88316.0,SERVENTE COM ENCARGOS COMPLEMENTARES,H,"0,1243000","21,38","2,65",,
105252.0,"ASSENTAMENTO DE CONEXÃO 2 ACESSOS INCLINADOS DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 150, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL ALTO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_05/2024",UN,"22,39",COMPOSICAO,88316.0,SERVENTE COM ENCARGOS COMPLEMENTARES,H,"0,1889000","21,38","4,03",,
105253.0,"ASSENTAMENTO DE CONEXÃO 2 ACESSOS INCLINADOS DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 200, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL ALTO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_05/2024",UN,"27,95",COMPOSICAO,88316.0,SERVENTE COM ENCARGOS COMPLEMENTARES,H,"0,2534000","21,38","5,41",,
105254.0,"ASSENTAMENTO DE CONEXÃO 2 ACESSOS INCLINADOS DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 250, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL ALTO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_05/2024",UN,"33,70",COMPOSICAO,88316.0,SERVENTE COM ENCARGOS COMPLEMENTARES,H,"0,3180000","21,38","6,79",,
105255.0,"ASSENTAMENTO DE CONEXÃO 2 ACESSOS INCLINADOS DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 300, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL ALTO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_05/2024",UN,"39,44",COMPOSICAO,88316.0,SERVENTE COM ENCARGOS COMPLEMENTARES,H,"0,3825000","21,38","8,17",,
105256.0,"ASSENTAMENTO DE CONEXÃO 2 ACESSOS INCLINADOS DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 350, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL ALTO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_05/2024",UN,"45,15",COMPOSICAO,88316.0,SERVENTE COM ENCARGOS COMPLEMENTARES,H,"0,4471000","21,38","9,55",,
105257.0,"ASSENTAMENTO DE CONEXÃO 2 ACESSOS INCLINADOS DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 400, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL ALTO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_05/2024",UN,"50,88",COMPOSICAO,88316.0,SERVENTE COM ENCARGOS COMPLEMENTARES,H,"0,5116000","21,38","10,93",,
105258.0,"ASSENTAMENTO DE CONEXÃO 2 ACESSOS ALINHADOS DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 400, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL BAIXO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_05/2024",UN,"28,98",COMPOSICAO,88316.0,SERVENTE COM ENCARGOS COMPLEMENTARES,H,"0,3082000","21,38","6,58",,
105259.0,"ASSENTAMENTO DE CONEXÃO 3 ACESSOS DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 100, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL BAIXO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_05/2024",UN,"18,24",COMPOSICAO,88316.0,SERVENTE COM ENCARGOS COMPLEMENTARES,H,"0,1497000","21,38","3,20",,
105261.0,"ASSENTAMENTO DE CONEXÃO 2 ACESSOS ALINHADOS DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 450, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL BAIXO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_05/2024",UN,"32,47",COMPOSICAO,88316.0,SERVENTE COM ENCARGOS COMPLEMENTARES,H,"0,3470000","21,38","7,41",,
105262.0,"ASSENTAMENTO DE CONEXÃO 2 ACESSOS ALINHADOS DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 500, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL BAIXO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_05/2024",UN,"40,48",COMPOSICAO,88316.0,SERVENTE COM ENCARGOS COMPLEMENTARES,H,"0,3859000","21,38","8,25",,
105263.0,"ASSENTAMENTO DE CONEXÃO 2 ACESSOS ALINHADOS DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 600, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL BAIXO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_05/2024",UN,"48,15",COMPOSICAO,88316.0,SERVENTE COM ENCARGOS COMPLEMENTARES,H,"0,4637000","21,38","9,91",,
105264.0,"ASSENTAMENTO DE CONEXÃO 2 ACESSOS ALINHADOS DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 700, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL BAIXO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_05/2024",UN,"55,02",COMPOSICAO,88316.0,SERVENTE COM ENCARGOS COMPLEMENTARES,H,"0,5414000","21,38","11,57",,
105265.0,"ASSENTAMENTO DE CONEXÃO 2 ACESSOS ALINHADOS DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 800, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL BAIXO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_05/2024",UN,"62,16",COMPOSICAO,88316.0,SERVENTE COM ENCARGOS COMPLEMENTARES,H,"0,6192000","21,38","13,23",,
105266.0,"ASSENTAMENTO DE CONEXÃO 2 ACESSOS ALINHADOS DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 900, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL BAIXO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_05/2024",UN,"69,57",COMPOSICAO,88316.0,SERVENTE COM ENCARGOS COMPLEMENTARES,H,"0,6970000","21,38","14,90",,
105267.0,"ASSENTAMENTO DE CONEXÃO 2 ACESSOS ALINHADOS DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 1000, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL BAIXO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_05/2024",UN,"77,07",COMPOSICAO,88316.0,SERVENTE COM ENCARGOS COMPLEMENTARES,H,"0,7747000","21,38","16,56",,
105268.0,"ASSENTAMENTO DE CONEXÃO 2 ACESSOS ALINHADOS DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 1200, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL BAIXO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_05/2024",UN,"95,20",COMPOSICAO,88316.0,SERVENTE COM ENCARGOS COMPLEMENTARES,H,"0,9303000","21,38","19,88",,
105269.0,"ASSENTAMENTO DE CONEXÃO 2 ACESSOS INCLINADOS DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 80, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL BAIXO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_05/2024",UN,"11,28",COMPOSICAO,88316.0,SERVENTE COM ENCARGOS COMPLEMENTARES,H,"0,0890000","21,38","1,90",,
105270.0,"ASSENTAMENTO DE CONEXÃO 2 ACESSOS INCLINADOS DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 450, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL ALTO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_05/2024",UN,"56,74",COMPOSICAO,88316.0,SERVENTE COM ENCARGOS COMPLEMENTARES,H,"0,5762000","21,38","12,31",,
105271.0,"ASSENTAMENTO DE CONEXÃO 2 ACESSOS INCLINADOS DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 500, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL ALTO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_05/2024",UN,"72,72",COMPOSICAO,88316.0,SERVENTE COM ENCARGOS COMPLEMENTARES,H,"0,6407000","21,38","13,69",,
105272.0,"ASSENTAMENTO DE CONEXÃO 2 ACESSOS INCLINADOS DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 600, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL ALTO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_05/2024",UN,"85,97",COMPOSICAO,88316.0,SERVENTE COM ENCARGOS COMPLEMENTARES,H,"0,7699000","21,38","16,46",,
105273.0,"ASSENTAMENTO DE CONEXÃO 2 ACESSOS INCLINADOS DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 700, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL ALTO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_05/2024",UN,"98,40",COMPOSICAO,88316.0,SERVENTE COM ENCARGOS COMPLEMENTARES,H,"0,8990000","21,38","19,22",,
105274.0,"ASSENTAMENTO DE CONEXÃO 2 ACESSOS INCLINADOS DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 800, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL ALTO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_05/2024",UN,"111,15",COMPOSICAO,88316.0,SERVENTE COM ENCARGOS COMPLEMENTARES,H,"1,0281000","21,38","21,98",,
105275.0,"ASSENTAMENTO DE CONEXÃO 2 ACESSOS INCLINADOS DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 900, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL ALTO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_05/2024",UN,"124,11",COMPOSICAO,88316.0,SERVENTE COM ENCARGOS COMPLEMENTARES,H,"1,1572000","21,38","24,74",,
105276.0,"ASSENTAMENTO DE CONEXÃO 2 ACESSOS INCLINADOS DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 1000, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL ALTO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_05/2024",UN,"137,19",COMPOSICAO,88316.0,SERVENTE COM ENCARGOS COMPLEMENTARES,H,"1,2863000","21,38","27,50",,
105277.0,"ASSENTAMENTO DE CONEXÃO 2 ACESSOS INCLINADOS DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 1200, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL ALTO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_05/2024",UN,"166,47",COMPOSICAO,88316.0,SERVENTE COM ENCARGOS COMPLEMENTARES,H,"1,5445000","21,38","33,02",,
105278.0,"ASSENTAMENTO DE CONEXÃO 3 ACESSOS DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 80, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL ALTO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_05/2024",UN,"19,93",COMPOSICAO,88316.0,SERVENTE COM ENCARGOS COMPLEMENTARES,H,"0,1313000","21,38","2,80",,
105279.0,"ASSENTAMENTO DE CONEXÃO 3 ACESSOS DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 100, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL ALTO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_05/2024",UN,"23,07",COMPOSICAO,88316.0,SERVENTE COM ENCARGOS COMPLEMENTARES,H,"0,1657000","21,38","3,54",,
105280.0,"ASSENTAMENTO DE CONEXÃO 3 ACESSOS DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 150, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL ALTO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_05/2024",UN,"30,70",COMPOSICAO,88316.0,SERVENTE COM ENCARGOS COMPLEMENTARES,H,"0,2518000","21,38","5,38",,
105281.0,"ASSENTAMENTO DE CONEXÃO 3 ACESSOS DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 200, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL ALTO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_05/2024",UN,"38,33",COMPOSICAO,88316.0,SERVENTE COM ENCARGOS COMPLEMENTARES,H,"0,3379000","21,38","7,22",,
